start_date,end_date,number,opinion,percent
1980-08-12,1980-08-12,39,approve,32
1980-07-08,1980-07-08,39,approve,32
1980-06-24,1980-06-24,39,approve,30
1980-06-10,1980-06-10,39,approve,32
1980-05-27,1980-05-27,39,approve,38
1980-05-13,1980-05-13,39,approve,38
1980-04-29,1980-04-29,39,approve,42
1980-04-08,1980-04-08,39,approve,38
1980-03-24,1980-03-24,39,approve,39
1980-03-04,1980-03-04,39,approve,42
1980-02-26,1980-02-26,39,approve,51
1980-01-29,1980-01-29,39,approve,55
1980-01-22,1980-01-22,39,approve,57
1980-01-02,1980-01-02,39,approve,56
1979-12-04,1979-12-04,39,approve,54
1979-11-27,1979-11-27,39,approve,51
1979-11-13,1979-11-13,39,approve,37
1979-10-30,1979-10-30,39,approve,31
1979-10-12,1979-10-15,39,approve,31
1979-10-02,1979-10-02,39,approve,28
1979-09-25,1979-09-25,39,approve,32
1979-09-04,1979-09-04,39,approve,29
1979-08-14,1979-08-14,39,approve,32
1979-08-07,1979-08-07,39,approve,33
1979-07-31,1979-07-31,39,approve,32
1979-07-30,1979-07-30,39,approve,32
1979-07-10,1979-07-10,39,approve,29
1979-06-26,1979-06-26,39,approve,28
1979-06-19,1979-06-19,39,approve,29
1979-05-29,1979-05-29,39,approve,29
1979-05-15,1979-05-15,39,approve,32
1979-05-01,1979-05-01,39,approve,37
1979-04-03,1979-04-03,39,approve,40
1979-03-20,1979-03-20,39,approve,42
1979-03-13,1979-03-13,39,approve,46
1979-02-27,1979-02-27,39,approve,39
1979-02-20,1979-02-20,39,approve,37
1979-01-30,1979-01-30,39,approve,42
1979-01-16,1979-01-16,39,approve,43
1979-01-02,1979-01-02,39,approve,50
1978-12-05,1978-12-05,39,approve,51
1978-11-28,1978-11-28,39,approve,50
1978-10-24,1978-10-24,39,approve,49
1978-09-19,1978-09-19,39,approve,47
1978-09-11,1978-09-11,39,approve,44
1978-09-05,1978-09-05,39,approve,42
1978-08-15,1978-08-15,39,approve,42
1978-08-08,1978-08-08,39,approve,40
1978-08-01,1978-08-01,39,approve,39
1978-07-18,1978-07-18,39,approve,38
1978-07-05,1978-07-05,39,approve,40
1978-06-13,1978-06-13,39,approve,42
1978-05-30,1978-05-30,39,approve,43
1978-05-16,1978-05-16,39,approve,42
1978-05-03,1978-05-03,39,approve,41
1978-04-25,1978-04-25,39,approve,41
1978-04-11,1978-04-11,39,approve,40
1978-03-28,1978-03-28,39,approve,47
1978-03-07,1978-03-07,39,approve,49
1978-03-01,1978-03-01,39,approve,48
1978-02-21,1978-02-21,39,approve,50
1978-02-11,1978-02-11,39,approve,46
1978-01-17,1978-01-17,39,approve,51
1978-01-03,1978-01-03,39,approve,54
1977-12-06,1977-12-06,39,approve,56
1977-11-15,1977-11-15,39,approve,55
1977-11-01,1977-11-01,39,approve,54
1977-10-25,1977-10-25,39,approve,51
1977-10-18,1977-10-18,39,approve,54
1977-10-11,1977-10-11,39,approve,54
1977-09-27,1977-09-27,39,approve,59
1977-09-06,1977-09-06,39,approve,53
1977-08-16,1977-08-16,39,approve,66
1977-08-02,1977-08-02,39,approve,59
1977-07-19,1977-07-19,39,approve,66
1977-07-05,1977-07-05,39,approve,62
1977-06-14,1977-06-14,39,approve,63
1977-05-31,1977-05-31,39,approve,62
1977-05-17,1977-05-17,39,approve,63
1977-05-06,1977-05-09,39,approve,65
1977-04-29,1977-05-02,39,approve,63
1977-04-12,1977-04-12,39,approve,63
1977-03-29,1977-03-29,39,approve,67
1977-03-22,1977-03-22,39,approve,71
1977-03-15,1977-03-15,39,approve,74
1977-03-01,1977-03-01,39,approve,70
1977-02-15,1977-02-15,39,approve,71
